Nom,Oficial
Beniardà,Beniardá
Beniarjó,Beniarjó
Beniarrés,Beniarrés
Beniatjar,Beniatjar
Benicarló,Benicarló
Benicàssim,Benicàssim / Benicasim
Benicolet,Benicolet
Benicull de Xúquer,Benicull de Xúquer
Benidoleig,Benidoleig
Benidorm,Benidorm
Benifaió,Benifaió
Benifairó de la Valldigna,Benifairó de la Valldigna
Benifairó de les Valls,Benifairó de les Valls
Benifallim,Benifallim
Benifato,Benifato
Beniflà,Beniflá
Benigànim,Benigànim
Benigembla,Benigembla
Benijòfer,Benijófar
Benilloba,Benilloba
Benillup,Benillup
Benimantell,Benimantell
Benimarfull,Benimarfull
Benimassot,Benimassot
Benimeli,Benimeli
Benimodo,Benimodo
Benimuslem,Benimuslem
Beniparrell,Beniparrell
Benirredrà,Benirredrà
Benissa,Benissa
Benissanó,Benissanó
Benissoda,Benissoda
Benissuera,Benissuera
Benlloc,Benlloc
Bétera,Bétera
Betxí,Betxí
Biar,Biar
Bicorb,Bicorp
Bigastre,Bigastro
Bocairent,Bocairent
Bolbait,Bolbaite
Bolulla,Bolulla
Bonrepòs i Mirambell,Bonrepòs i Mirambell
Borriana,Borriana / Burriana
Borriol,Borriol
Bufali,Bufali
Bugarra,Bugarra
Bunyol,Buñol
Burjassot,Burjassot
Busot,Busot
Cabanes,Cabanes
Càlig,Càlig
Calles,Calles
Callosa d’en Sarrià,Callosa d’en Sarrià
Callosa de Segura,Callosa de Segura
Calp,Calp
el Camp de Mirra,el Camp de Mirra / Campo de Mirra
el Campello,el Campello
Camporrobles,Camporrobles
Canals,Canals
Canet d’en Berenguer,Canet d’en Berenguer
Canet lo Roig,Canet lo Roig
la Canyada,Cañada
Carcaixent,Carcaixent
Càrcer,Càrcer
Carlet,Carlet
Carrícola,Carrícola
Cases Altes,Casas Altas
Cases Baixes,Casas Bajas
Casinos,Casinos
Castalla,Castalla
Castell de Cabres,Castell de Cabres
Castell de Castells,Castell de Castells
el Castell de Guadalest,el Castell de Guadalest
el Castell de Vilamalefa,Castillo de Villamalefa
Castellfort,Castellfort
Castellnou,Castellnovo
Castelló de la Plana,Castelló de la Plana
Castelló de Rugat,Castelló de Rugat
Castellonet de la Conquesta,Castellonet de la Conquesta
Castielfabib,Castielfabib
Catadau,Catadau
Catarroja,Catarroja
Catí,Catí
Catral,Catral
Caudete de las Fuentes,Caudete de las Fuentes
Caudiel,Caudiel
Cerdà,Cerdà
Cervera del Maestrat,Cervera del Maestre
Cinctorres,Cinctorres
Cirat,Cirat
Cocentaina,Cocentaina
Cofrents,Cofrentes
Coix,Cox
Confrides,Confrides
Corbera,Corbera
Cortes d’Arenós,Cortes de Arenoso
Cortes de Pallars,Cortes de Pallás
Costur,Costur
Cotes,Cotes
les Coves de Vinromà,les Coves de Vinromà
Crevillent,Crevillent
Culla,Culla
Cullera,Cullera
Daia Nova,Daya Nueva
Daia Vella,Daya Vieja
Daimús,Daimús
Dénia,Dénia
Dolores,Dolores
Domenyo,Domeño
Dosaigües,Dos Aguas
Elda,Elda
l’Eliana,l’Eliana
Elx,Elx / Elche
Emperador,Emperador
Énguera,Enguera
l’Ènova,l’Ènova
Eslida,Eslida
Espadella,Espadilla
Estivella,Estivella
Estubeny,Estubeny
Fageca,Facheca
Famorca,Famorca
Fanzara,Fanzara
Faura,Faura
Favara,Favara
Figueres,Higueras
Figueroles,Figueroles
Figueroles de Domenyo,Higueruelas
Finestrat,Finestrat
Foios,Foios
el Fondó de les Neus,el Fondó de les Neus / Hondón de las Nieves
el Fondó dels Frares,Hondón de los Frailes
la Font d’en Carròs,la Font d’en Carròs
la Font de la Figuera,la Font de la Figuera
la Font de la Reina,Fuente la Reina
Fontanars dels Alforins,Fontanars dels Alforins
les Fonts d’Aiòder,Fuentes de Ayódar
el Forcall,Forcall
Formentera del Segura,Formentera del Segura
Fortaleny,Fortaleny
Fuenterrobles,Fuenterrobles
Gaianes,Gaianes
Gaibiel,Gaibiel
Gandia,Gandia
Gata de Gorgos,Gata de Gorgos
Gàtova,Gátova
Gavarda,Gavarda
Geldo,Geldo
el Genovés,el Genovés
Gilet,Gilet
Godella,Godella
Godelleta,Godelleta
Gorga,Gorga
la Granja de la Costera,la Granja de la Costera
la Granja de Rocamora,Granja de Rocamora
Guadasséquies,Guadasséquies
Guadassuar,Guadassuar
Guardamar de la Safor,Guardamar de la Safor
Guardamar del Segura,Guardamar del Segura
Herbers,Herbés
Iàtova,Yátova
Ibi,Ibi
la Iessa,La Yesa
la Jana,la Jana
Llanera de Ranes,Llanera de Ranes
Llaurí,Llaurí
Llíber,Llíber
Llíria,Llíria
Llocnou d’en Fenollet,Llocnou d’en Fenollet
Llocnou de la Corona,Llocnou de la Corona
Llocnou de Sant Jeroni,Llocnou de Sant Jeroni
Llombai,Llombai
la Llosa,la Llosa
la Llosa de Ranes,la Llosa de Ranes
la Llosa del Bisbe,Losa del Obispo
Llucena,Llucena / Lucena del Cid
Lludient,Ludiente
Llutxent,Llutxent
Loriguilla,Loriguilla
Macastre,Macastre
Manises,Manises
Manuel,Manuel
Marines,Marines
Massalavés,Massalavés
Massalfassar,Massalfassar
Massamagrell,Massamagrell
Massanassa,Massanassa
la Mata,la Mata
Matet,Matet
Meliana,Meliana
Millars,Millares
Millena,Millena
Miramar,Miramar
Mislata,Mislata
Moixent,Moixent / Mogente
Moncofa,Moncofa
Monòver,Monòver / Monóvar
Montanejos,Montanejos
Montant,Montán
Montaverner,Montaverner
Montcada,Moncada
Montesa,Montesa
Los Montesinos,Los Montesinos
Montfort,Monforte del Cid
Montitxelvo,Montitxelvo / Montichelvo
Montroi,Montroi / Montroy
Montserrat,Montserrat
Morella,Morella
Murla,Murla
Muro d’Alcoi,Muro de Alcoy
Museros,Museros
Mutxamel,Mutxamel
Nàquera,Nàquera / Náquera
Navaixes,Navajas
Navarrés,Navarrés
Novelda,Novelda
Novetlè,Novetlè / Novelé
la Nucia,la Nucia
Nules,Nules
Oliva,Oliva
l’Olleria,l’Olleria
Olocau,Olocau
Olocau del Rei,Olocau del Rey
Onda,Onda
Ondara,Ondara
Onil,Onil
Ontinyent,Ontinyent
Orba,Orba
Oriola,Orihuela
Orpesa,Orpesa / Oropesa del Mar
l’Orxa,l’Orxa / Lorcha
Orxeta,Orxeta
Otos,Otos
Paiporta,Paiporta
Palanques,Palanques
Palma de Gandia,Palma de Gandía
Palmera,Palmera
el Palomar,el Palomar
Parcent,Parcent
Paterna,Paterna
Pavies,Pavías
Pedralba,Pedralba
Pedreguer,Pedreguer
Pego,Pego
Penàguila,Penàguila
Peníscola,Peníscola / Peñíscola
Petrer,Petrer
Petrés,Petrés
Picanya,Picanya
Picassent,Picassent
el Pilar de la Foradada,Pilar de la Horadada
Piles,Piles
Pina,Pina de Montalgrao
Pinet,Pinet
el Pinós,el Pinós / Pinoso
Planes,Planes
la Pobla d’Arenós,Puebla de Arenoso
la Pobla de Benifassà,la Pobla de Benifassà
la Pobla de Farnals,la Pobla de Farnals
la Pobla de Sant Miquel,Puebla de San Miguel
la Pobla de Vallbona,la Pobla de Vallbona
la Pobla del Duc,la Pobla del Duc
la Pobla Llarga,la Pobla Llarga
la Pobla Tornesa,la Pobla Tornesa
el Poble Nou de Benitatxell,el Poble Nou de Benitatxell / Benitachell
els Poblets,els Poblets
Polinyà de Xúquer,Polinyà de Xúquer
Polop,Polop
Portell de Morella,Portell de Morella
Potries,Potries
Puçol,Puçol
el Puig de Santa Maria,el Puig de Santa Maria
Quart de les Valls,Quart de les Valls
Quart de Poblet,Quart de Poblet
Quartell,Quartell
Quatretonda,Quatretonda
Quatretondeta,Quatretondeta
Quesa,Quesa
Rafal,Rafal
Rafelbunyol,Rafelbunyol
Rafelcofer,Rafelcofer
Rafelguaraf,Rafelguaraf
el Ràfol d’Almúnia,el Ràfol d’Almúnia
el Ràfol de Salem,Ráfol de Salem
Real,Real
el Real de Gandia,el Real de Gandia
Redovà,Redován
Relleu,Relleu
Requena,Requena
Riba‐roja de Túria,Riba‐roja de Túria
Ribesalbes,Ribesalbes
Riola,Riola
Rocafort,Rocafort
Rojals,Rojales
la Romana,la Romana
Rossell,Rossell
Rotglà i Corberà,Rotglà i Corberà
Ròtova,Rótova
Rugat,Rugat
Sacanyet,Sacañet
Sagra,Sagra
Sagunt,Sagunt / Sagunto
Saix,Sax
Salem,Salem
Salines,Salinas
la Salzadella,la Salzadella
Sanet i els Negrals,Sanet y Negrals
Sant Antoni de Benaixeve,San Antonio de Benagéber
Sant Fulgenci,San Fulgencio
Sant Isidre,San Isidro
Sant Joan d’Alacant,Sant Joan d’Alacant
Sant Joan de Moró,Sant Joan de Moró
Sant Joanet,Sant Joanet
Sant Jordi,Sant Jordi / San Jorge
Sant Mateu,Sant Mateu
Sant Miquel de les Salines,San Miguel de Salinas
Sant Rafel del Riu,San Rafael del Río
Santa Magdalena de Polpís,Santa Magdalena de Pulpis
Santa Pola,Santa Pola
Sedaví,Sedaví
Segart,Segart
Sella,Sella
Sellent,Sellent
Sempere,Sempere
Senija,Senija
Senyera,Senyera
Serra,Serra
la Serra d’en Galceran,Sierra Engarcerán
la Serratella,la Serratella
Setaigües,Siete Aguas
Silla,Silla
Simat de la Valldigna,Simat de la Valldigna
Sinarques,Sinarcas
Sogorb,Segorbe
Sollana,Sollana
Soneja,Soneja
Sorita,Zorita del Maestrazgo
Sot de Ferrer,Sot de Ferrer
Sot de Xera,Sot de Chera
Sucaina,Zucaina
Sueca,Sueca
Suera,Suera / Sueras
Sumacàrcer,Sumacàrcer
Tales,Tales
Tàrbena,Tàrbena
Tavernes Blanques,Tavernes Blanques
Tavernes de la Valldigna,Tavernes de la Valldigna
Teresa,Teresa
Teresa de Cofrents,Teresa de Cofrentes
Terrateig,Terrateig
Teulada,Teulada
Tibi,Tibi
Tírig,Tírig
Titaigües,Titaguas
la Todolella,Todolella
Toga,Toga
Toixa,Tuéjar
Tollos,Tollos
Toràs,Torás
Torís,Turís
Tormos,Tormos
el Toro,El Toro
Torralba,Torralba del Pinar
la Torre d’en Besora,la Torre d’en Besora
la Torre d’en Doménec,la Torre d’en Doménec
la Torre de les Maçanes,la Torre de les Maçanes / Torremanzanas
Torrebaixa,Torrebaja
Torreblanca,Torreblanca
Torrella,Torrella
Torrent,Torrent
Torres Torres,Torres Torres
Torrevella,Torrevieja
Torre‐xiva,Torrechiva
Tous,Tous
Traiguera,Traiguera
les Useres,les Useres / Useras
Utiel,Utiel
València,València
la Vall d’Alba,Vall d’Alba
la Vall d’Alcalà,la Vall d’Alcalà
la Vall d’Almonesir,Vall de Almonacid
la Vall d’Ebo,la Vall d’Ebo
la Vall d’Uixó,la Vall d’Uixó
la Vall de Gallinera,Vall de Gallinera
la Vall de Laguar,la Vall de Laguar
Vallada,Vallada
Vallanca,Vallanca
Vallat,Vallat
Vallés,Vallés
Vallibona,Vallibona
Venta del Moro,Venta del Moro
el Verger,el Verger
la Vila Joiosa,la Vila Joiosa / Villajoyosa
Vilafamés,Vilafamés
Vilafermosa,Villahermosa del Río
Vilafranca,Vilafranca / Villafranca del Cid
Vilallonga,Vilallonga/Villalonga
Vilamalur,Villamalur
Vilamarxant,Vilamarxant
Vilanova d’Alcolea,Vilanova d’Alcolea
Vilanova de Castelló,Villanueva de Castellón
Vilanova de la Reina,Villanueva de Viver
Vilar de Canes,Vilar de Canes
Vila‐real,Vila‐real
la Vilavella,la Vilavella
el Villar,Villar del Arzobispo
Villargordo del Cabriel,Villargordo del Cabriel
Villena,Villena
Villores,Villores
Vinalesa,Vinalesa
Vinaròs,Vinaròs
Vistabella del Maestrat,Vistabella del Maestrat
Viver,Viver
Xàbia,Xàbia / Jávea
Xacarella,Jacarilla
Xalans,Jalance
Xaló,Xaló
Xarafull,Jarafuel
Xàtiva,Xàtiva
Xella,Chella
Xelva,Chelva
Xera,Chera
Xeraco,Xeraco
Xeresa,Xeresa
Xèrica,Jérica
Xert,Xert
Xest,Cheste
Xestalgar,Gestalgar
Xilxes,Xilxes / Chilches
Xirivella,Xirivella
Xiva,Chiva
Xixona,Xixona / Jijona
Xodos,Xodos / Chodos
Xóvar,Chóvar
Xulilla,Chulilla
Zarra,Zarra
